"Sample_Site","county","latitude","longitude","population","site_id"
"1206 sw mayer st","Lewis County",46.5612011,-122.4225561,,
"Alderwood Picnic Point WWTP","Snohomish County",48.006,-122.0731,33244.38523,29
"Anacortes WWTP Influent","Skagit County",48.485784,-121.815524,16148.35319,41
"Arlington Water Reclamation Facility","Snohomish County",48.006,-122.0731,20002.75173,34
"Brightwater Treatment Plant","King County",47.449221,-121.864246,315423.0769,33
"Chambers Creek WWTP","Pierce County",47.0022547,-122.2117983,352260.9066,13
"City of Brewster WWTP","Okanogan County",48.361262,-119.5833869,2137.973596,17
"city of everett water pollution control facility","Snohomish County",48.006,-122.0731,190642.1977,36
"City of Everett WWTP","Snohomish County",48.006,-122.0731,190642.1977,36
"City of Lynden WWTP","Whatcom County",48.830959,-121.791189,16476.78113,22
"City of Pasco Wastewater Treatment Plant","Franklin County",46.517555,-118.921601,83960.19283,4
"City of Port Townsend WWTP","Jefferson County",47.728342,-123.606395,10251.99145,12
"City of Pullman WWTP","Whitman County",46.9428831,-117.5286172,32738.40077,15
"City of Puyallup WWTP","Pierce County",47.0022547,-122.2117983,53827.19145,11
"City of Richland Wastewater Treatment Facility","Benton County",46.190531,-119.52072,,
"City of Stanwood WWTP","Snohomish County",48.006,-122.0731,8467.799437,35
"city of washougal wwtp","Clark County",45.7669047,-122.4940866,,
"City of Wenatchee WWTP","Chelan County",47.8012197,-120.6276904,41060.42506,10
"City of West Richland WWTP","Benton County",46.190531,-119.52072,17596.7617,9
"City of Yakima WWTP","Yakima County",46.430431,-120.711765,100143.979,18
"Coupeville WWTP","Island County",48.2162669,-122.6842402,1895.202213,24
"Ellensburg Wastewater Treatment Facility","Kittitas County",47.175,-120.9319,21827.74065,21
"Ephrata WWTP","Grant County",47.209925,-119.420874,8662.270795,14
"harstene pointe wastewater plant","Mason County",47.3429635,-123.1822758,,
"Kennewick Wastewater Plant","Benton County",46.190531,-119.52072,,
"King County South Wastewater Treatment Plant","King County",47.449221,-121.864246,949601.927,25
"LOTT Budd Inlet Water Reclamation Facility Plant","Thurston County",46.935508,-122.867349,195281.6529,19
"Marine Park Wastewater Treatment Facility","Clark County",45.7669047,-122.4940866,161777.8884,27
"mason county influent channel","Mason County",47.3429635,-123.1822758,,
"Mount Vernon WWTP","Skagit County",48.485784,-121.815524,33984.41135,42
"Nisqually WRP Influent","Thurston County",46.935508,-122.867349,97.41913662,20
"Oak Harbor Clean Water Facility","Island County",48.2162669,-122.6842402,24299.19469,23
"Riverside Park Water Reclamation Facility","Spokane County",47.605929,-117.398931,271435.88,1
"Salmon Creek Treatment Plant (SCTP) Influent","Clark County",45.7669047,-122.4940866,139490.5451,28
"Spokane County Health Department","Spokane County",47.605929,-117.398931,125724.3532,2
"Spokane County Regional Water Reclamation Facility","Spokane County",47.605929,-117.398931,125724.3532,2
"Tacoma Central WWTP","Pierce County",47.0022547,-122.2117983,166831.379,46
"Walla Walla Reclamation and WWTP","Walla Walla County",46.2055155,-118.5174284,33563.59474,16
"West Point Wastewater Treatment Plant","King County",47.449221,-121.864246,833917.2323,37
"Westside Sewage Treatment Plant","Kitsap County",47.594502,-122.6474421,81601.02875,31
