Lab_ID	Sample_ID	Sample_Collection_Date	Sample_Site	Variant_name	Variant_proportion	Pipeline_date
LAB0000001	1000000	2024-06-05	G	LB.1	0.3958465	2024-06-12
LAB0000001	1000000	2024-06-05	G	KP.3	0.20178339	2024-06-12
LAB0000001	1000000	2024-06-05	G	JN.1.34	0.14682071	2024-06-12
LAB0000001	1000000	2024-06-05	G	KP.1	0.12479197	2024-06-12
LAB0000001	1000000	2024-06-05	G	JN.1.11.1	0.08781317	2024-06-12
LAB0000001	1000000	2024-06-05	G	KP.2.2	0.01242239	2024-06-12
LAB0000001	1000000	2024-06-05	G	KP.2.15	0.00683323	2024-06-12
LAB0000001	1000000	2024-06-05	G	JN.1.51.1	0.0042061	2024-06-12
LAB0000001	1000000	2024-06-05	G	KP.3.1	0.00265439	2024-06-12
LAB0000001	1000000	2024-06-05	G	JN.1.54.1	0.0026208	2024-06-12
LAB0000001	1000000	2024-06-05	G	KP.1.1.2	0.00161595	2024-06-12
LAB0000001	1000000	2024-06-05	G	KP.1.1.1	0.00136257	2024-06-12
LAB0000001	1000000	2024-06-05	G	JN.1.4.2	0.001411	2024-06-12
LAB0000001	1000000	2024-06-05	G	JN.1.19	0.0007628	2024-06-12
LAB0000001	1000000	2024-06-05	G	unreportable	0.00905502	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.16	0.58017804	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.16.1	0.37160052	2024-06-12
LAB0000002	1000001	2024-06-05	M	LF.2	0.00920751	2024-06-12
LAB0000002	1000001	2024-06-05	M	KY.1	0.0039439	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.58	0.00307027	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.58.2	0.00544508	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.22	0.00249521	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.29.1	0.00224298	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.54.1	0.00164685	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.35	0.00182542	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.58.1	0.0016417	2024-06-12
LAB0000002	1000001	2024-06-05	M	KP.4.2.2	0.00109369	2024-06-12
LAB0000002	1000001	2024-06-05	M	JN.1.19	0.00144295	2024-06-12
LAB0000002	1000001	2024-06-05	M	unreportable	0.01416587	2024-06-12
LAB0000003	1000002	2024-06-04	O	KP.5	0.31676392	2024-06-12
LAB0000003	1000002	2024-06-04	O	KP.4	0.28632441	2024-06-12
LAB0000003	1000002	2024-06-04	O	LB.1	0.20355897	2024-06-12
LAB0000003	1000002	2024-06-04	O	LF.1	0.13639532	2024-06-12
LAB0000003	1000002	2024-06-04	O	JN.1.14	0.01141038	2024-06-12
LAB0000003	1000002	2024-06-04	O	JN.1.26	0.01487331	2024-06-12
LAB0000003	1000002	2024-06-04	O	KP.1.1.3	0.00432664	2024-06-12
LAB0000003	1000002	2024-06-04	O	KP.2.11	0.00339848	2024-06-12
LAB0000003	1000002	2024-06-04	O	JN.1.58.1	0.00209197	2024-06-12
LAB0000003	1000002	2024-06-04	O	JN.1.55.1	0.00206234	2024-06-12
LAB0000003	1000002	2024-06-04	O	KP.3.1	0.00273299	2024-06-12
LAB0000003	1000002	2024-06-04	O	JN.1.29.1	0.00217932	2024-06-12
LAB0000003	1000002	2024-06-04	O	KP.1.1.1	0.00181826	2024-06-12
LAB0000003	1000002	2024-06-04	O	JN.1.54.1	0.00135015	2024-06-12
LAB0000003	1000002	2024-06-04	O	KP.2.2	0.0011783	2024-06-12
LAB0000003	1000002	2024-06-04	O	LH.1	0.00083191	2024-06-12
LAB0000003	1000002	2024-06-04	O	unreportable	0.00870332	2024-06-12
