Week,county,variant,weighted_sum,total_population,weighted_avg,hex_code
2024-04-02,Benton County,BA.2,0.0,502178,0.0,#9CCD67
2024-04-02,Benton County,BA.2.12.1,0.0,502178,0.0,#7CB342
2024-04-02,Benton County,BA.2.86,0.0,502178,0.0,#D770EE
2024-04-02,Benton County,EG.5,0.0,502178,0.0,#FFBE7D
2024-04-02,Benton County,EG.5.1.8,0.0,502178,0.0,#E14D6F
2024-04-02,Benton County,EG.6.1,0.0,502178,0.0,#B9ABA8
2024-04-02,Benton County,FE.1.1,0.0,502178,0.0,#499894
2024-04-02,Benton County,FL.1.5.1,0.0,502178,0.0,#8CD17D
2024-04-02,Benton County,GE.1,0.0,502178,0.0,#FABFD2
2024-04-02,Benton County,GK.1.1,0.0,502178,0.0,#90FAE5
2024-04-02,Benton County,HF.1,0.0,502178,0.0,#D399AD
2024-04-02,Benton County,HK.3,0.0,502178,0.0,#859DBC
2024-04-02,Benton County,HV.1,0.0,502178,0.0,#797765
2024-04-02,Benton County,JD.1.1,0.0,502178,0.0,#80F192
2024-04-02,Benton County,JF.1,0.0,502178,0.0,#FFF1A9
2024-04-02,Benton County,JG.3,0.0,502178,0.0,#66A172
2024-04-02,Benton County,JN.1,3300.75071086,502178,0.00657287,#61018F
2024-04-02,Benton County,JN.1.11.1,0.0,502178,0.0,#5C9CF1
2024-04-02,Benton County,JN.1.13,0.0,502178,0.0,#E83C78
2024-04-02,Benton County,JN.1.13.1,0.0,502178,0.0,#F2591C
2024-04-02,Benton County,JN.1.16,709.326425,502178,0.0014125,#BC3A88
2024-04-02,Benton County,JN.1.16.1,0.0,502178,0.0,#366298
2024-04-02,Benton County,JN.1.18,0.0,502178,0.0,#4AF32F
2024-04-02,Benton County,JN.1.32,0.0,502178,0.0,#2E7919
2024-04-02,Benton County,JN.1.4.3,0.0,502178,0.0,#9D1010
2024-04-02,Benton County,JN.1.7,492872.3403532,502178,0.9814694,#CF15E8
2024-04-02,Benton County,JN.1.8.1,0.0,502178,0.0,#FFB027
2024-04-02,Benton County,KP.1.1,0.0,502178,0.0,#CBFF86
2024-04-02,Benton County,KP.1.1.3,0.0,502178,0.0,#1EB3B6
2024-04-02,Benton County,KP.1.2,0.0,502178,0.0,#D7B5A6
2024-04-02,Benton County,KP.2,0.0,502178,0.0,#5875A1
2024-04-02,Benton County,KP.2.15,0.0,502178,0.0,#175DFF
2024-04-02,Benton County,KP.2.3,0.0,502178,0.0,#628DE8
2024-04-02,Benton County,KP.3,0.0,502178,0.0,#B06589
2024-04-02,Benton County,KP.3.1.1,0.0,502178,0.0,#2F92A1
2024-04-02,Benton County,KP.4.1,0.0,502178,0.0,#FF473A
2024-04-02,Benton County,KQ.1,0.0,502178,0.0,#E86CDE
2024-04-02,Benton County,KV.2,0.0,502178,0.0,#E14365
2024-04-02,Benton County,KW.1.1,0.0,502178,0.0,#34A0FF
2024-04-02,Benton County,LB.1,0.0,502178,0.0,#795653
2024-04-02,Benton County,Recombinant,0.0,502178,0.0,#FF0000
2024-04-02,Benton County,XBB,0.0,502178,0.0,#9FA8DA
2024-04-02,Benton County,XBB.1.16,0.0,502178,0.0,#4527A0
2024-04-02,Benton County,XBB.1.16.1,0.0,502178,0.0,#F89B9B
2024-04-02,Benton County,XBB.1.16.15,0.0,502178,0.0,#E3B5FA
2024-04-02,Benton County,XBB.1.16.6,0.0,502178,0.0,#5AA350
2024-04-02,Benton County,XBB.1.42.1,0.0,502178,0.0,#75D1A3
2024-04-02,Benton County,XBB.1.5,0.0,502178,0.0,#3F51B5
2024-04-02,Benton County,XBB.1.5.70,0.0,502178,0.0,#46783C
2024-04-02,Benton County,XBB.1.5.72,0.0,502178,0.0,#254220
2024-04-02,Benton County,XBB.1.9.1,0.0,502178,0.0,#304FFE
2024-04-02,Benton County,XBB.1.9.2,0.0,502178,0.0,#536DFE
2024-04-02,Benton County,XBB.2.3,0.0,502178,0.0,#F7BCDF
2024-04-02,Benton County,XDP,0.0,502178,0.0,#B60052
2024-04-02,Benton County,XDV.1,0.0,502178,0.0,#D367B6
2024-04-02,Benton County,unreportable,5295.582510939999,502178,0.01054523,#eeeeee
2024-04-02,Franklin County,BA.2,0.0,737220,0.0,#9CCD67
2024-04-02,Franklin County,BA.2.12.1,0.0,737220,0.0,#7CB342
