Variant_name,variant
BA.2.12,BA.2
BA.2.37,BA.2
BA.2.68,BA.2
BA.2.72,BA.2
BA.2.86,BA.2.86
BA.2.86.1,BA.2.86
BA.2.86.3,BA.2.86
BA.2.86.4,BA.2.86
BA.2.86.5,BA.2.86
BG.1,BA.2.12.1
EG.1.8,XBB.1.9.2
EG.10,XBB.1.9.2
EG.11,XBB.1.9.2
EG.14,XBB.1.9.2
EG.2,XBB.1.9.2
EG.2.2,XBB.1.9.2
EG.2.3,XBB.1.9.2
EG.2.4,XBB.1.9.2
EG.2.5,XBB.1.9.2
EG.4.5,XBB.1.9.2
EG.5.1,EG.5
EG.5.1.10,EG.5
EG.5.1.11,EG.5
EG.5.1.13,EG.5
EG.5.1.14,EG.5
EG.5.1.15,EG.5
EG.5.1.16,EG.5
EG.5.1.18,EG.5
EG.5.1.4,EG.5
EG.5.1.6,EG.5
EG.5.1.8,EG.5.1.8
EG.5.1.9,EG.5
EG.5.2.3,EG.5
EG.5.2.4,EG.5
EG.6,XBB.1.9.2
EG.6.1,EG.6.1
EG.8,XBB.1.9.2
EG.9,XBB.1.9.2
FE.1.1.4,FE.1.1
FE.1.1.5,FE.1.1
FE.1.2,XBB
FL.1.4,XBB.1.9.1
FL.1.5.1,FL.1.5.1
FL.1.5.2,XBB.1.9.1
FL.1.6,XBB.1.9.1
FL.1.8,XBB.1.9.1
FL.13.3.1,XBB.1.9.1
FL.13.4,XBB.1.9.1
FL.15.1,XBB.1.9.1
FL.15.1.1,XBB.1.9.1
FL.18,XBB.1.9.1
FL.2.2,XBB.1.9.1
FL.2.2.1,XBB.1.9.1
FL.2.3.1,XBB.1.9.1
FL.22,XBB.1.9.1
FL.24.1,XBB.1.9.1
FL.27,XBB.1.9.1
FL.29,XBB.1.9.1
FL.3.2,XBB.1.9.1
FL.3.3,XBB.1.9.1
FL.30,XBB.1.9.1
FL.35,XBB.1.9.1
FL.35.1,XBB.1.9.1
FL.37,XBB.1.9.1
FL.38,XBB.1.9.1
FL.4.10,XBB.1.9.1
FL.4.5,XBB.1.9.1
FL.4.6,XBB.1.9.1
FL.4.7,XBB.1.9.1
FL.4.9,XBB.1.9.1
FL.6,XBB.1.9.1
FL.7,XBB.1.9.1
FL.9,XBB.1.9.1
FP.1,XBB
FP.2.1.1,XBB
FU.5,XBB.1.16.1
FW.1,XBB
FW.3,XBB
FY.1.4.1,XBB
FY.2.1,XBB
FY.5.1,XBB
FY.5.3,XBB
FY.5.5.1,XBB
FZ.2,XBB.1.5
GA.4.1,XBB
GA.8.1,XBB
GC.1,XBB.1.5
GE.1.2.1,GE.1
GE.1.3,GE.1
GG.1,XBB.1.5
GJ.5,XBB.2.3
GK.1.1,GK.1.1
