Sample_Site,county,population
A,Whitman County,245487
B,Chelan County,147916
C,Yakima County,740660
D,Yakima County,854908
E,Island County,819645
F,King County,973611
G,Kittitas County,719262
H,Pierce County,943787
I,Thurston County,68224
J,Okanogan County,24130
K,Okanogan County,927810
L,Spokane County,713850
M,Benton County,707090
N,Chelan County,775980
O,Walla Walla County,551552
P,Franklin County,737220
Q,Franklin County,477843
R,Pierce County,69239
S,Walla Walla County,836327
T,Island County,617169
U,Yakima County,337440
V,Island County,341818
W,Thurston County,98160
X,Benton County,502178
Y,Kittitas County,143520
Z,Jefferson County,162770
